Sweep	Chain_1	Chain_2	Chain_3	
43257	-3520.605935606	-3533.003284377	-3540.242172431	
43258	-3520.605935606	-3533.003284377	-3540.242172431	
43259	-3520.832419406	-3533.402240095	-3540.895723134	
43260	-3523.947446263	-3528.292003961	-3537.21489621	
43261	-3523.377853947	-3530.741621462	-3531.595136581	
43262	-3524.631017386	-3526.812216933	-3535.347458713	
43263	-3522.990143247	-3526.446018979	-3535.013322803	
43264	-3520.425141034	-3530.986129563	-3527.826033091	
43265	-3521.67538359	-3535.683664585	-3544.096147555	
43266	-3523.765942584	-3536.88237058	-3547.524093518	
43267	-3523.31630902	-3537.985745015	-3549.445490743	
43268	-3520.495825661	-3545.584186372	-3538.462183715	
43269	-3520.495825661	-3538.462183715	-3545.584186372	
43270	-3520.495825661	-3538.462183715	-3545.584186372	
43271	-3520.303018835	-3528.023413236	-3537.994613604	
43272	-3520.303018835	-3528.023413236	-3539.413641031	
43273	-3520.303018835	-3528.023413236	-3539.413641031	
43274	-3520.221989363	-3527.641797507	-3537.878845457	
43275	-3520.221989363	-3527.641797507	-3537.878845457	
