Sweep	Move_type	nBreakpoints	Chain_l	Chain_r
3138	2	2	1	3
3140	3	1	1	2
3143	1	1	2	1
3144	3	4	1	2
3145	3	1	1	2
3146	2	2	1	2
3147	1	1	1	2
3148	1	1	1	2
3149	3	4	1	2
3150	2	2	2	1
3155	3	2	2	1
3158	1	1	1	2
3159	1	1	1	2
3165	1	1	2	1
3167	2	2	1	3
3171	3	4	1	3
3174	2	2	1	2
3178	3	4	1	2
3181	3	4	1	2
3182	1	1	2	1
3185	2	2	1	2
3188	1	1	1	3
3189	3	1	1	2
3190	3	1	1	2
3192	3	1	1	3
3194	3	2	1	2
3199	3	1	2	1
3203	2	2	1	3
3213	2	2	1	2
3214	2	2	1	2
3216	1	1	1	3
3220	1	1	2	1
3221	3	4	2	1
3222	2	2	2	1
3223	1	1	1	2
3224	1	1	1	2
3225	2	2	2	1
3227	1	1	1	3
3230	3	2	1	2
3233	2	2	3	1
3234	1	1	2	1
3238	2	2	2	1
3239	2	2	1	2
3242	2	2	1	2
3245	3	2	1	3
3248	3	4	1	2
3249	3	4	2	1
3250	3	2	1	3
3254	3	1	1	2
3260	1	1	1	3
3261	2	2	1	2
3263	3	2	1	2
3265	2	2	1	2
3269	2	2	1	2
3273	3	1	1	2
3280	3	4	1	2
3281	1	1	2	1
3282	3	2	1	2
3283	3	5	1	2
3284	2	2	1	2
3285	2	2	1	2
3287	3	1	3	1
3289	2	2	1	2
3295	3	4	1	3
3296	1	1	1	3
3303	2	2	2	3
3304	2	2	2	3
3307	3	5	1	2
3308	3	4	2	1
3310	3	1	1	2
3313	2	2	3	1
3323	2	2	2	1
3326	3	1	1	2
3327	3	1	1	2
3330	3	2	1	2
3332	3	4	2	1
3334	2	2	1	3
3335	1	1	3	1
3336	1	1	1	3
3340	3	5	2	1
3343	1	1	1	2
3345	3	4	2	1
3348	2	2	1	2
3349	1	1	2	1
3355	1	1	1	2
3356	2	2	1	2
3357	1	1	1	2
3358	3	4	1	2
3359	1	1	1	2
3364	2	2	2	1
3367	1	1	1	2
3371	2	2	1	3
3374	1	1	1	2
3375	1	1	1	2
3383	2	2	1	2
3385	1	1	1	2
3386	1	1	1	2
3388	3	1	1	2
3392	2	2	1	2
3395	2	2	1	2
3401	1	1	1	2
3402	3	4	1	2
3407	3	2	2	1
3408	3	1	2	1
3409	3	5	1	2
3416	2	2	1	2
3417	2	2	1	2
3418	1	1	1	2
3419	2	2	1	2
3423	2	2	1	3
3429	3	2	1	2
3431	3	1	2	1
3432	3	2	1	2
3434	3	4	1	2
3436	3	4	1	2
3438	3	4	1	2
3439	3	2	1	2
3440	2	2	1	2
3441	3	5	1	2
3442	2	2	1	2
3443	3	2	2	1
3447	3	1	1	2
3451	3	1	2	1
3456	3	2	2	1
3457	2	2	1	2
3459	2	2	1	2
3463	1	1	1	2
3467	3	1	1	2
3468	1	1	1	2
3469	2	2	2	1
3472	2	2	2	1
3477	3	2	1	2
3478	3	4	2	1
3482	3	1	1	2
3488	2	2	3	1
3491	3	4	1	2
3493	3	2	2	1
3497	3	1	1	2
3501	3	1	1	2
